"","danceability","energy","loudness","tempo","valence"
"42",0.545,0.753,-4.618,105.754,0.434
"43",0.374,0.961,-4.421,167.032,0.357
"44",0.695,0.876,-4.262,89.954,0.941
"45",0.246,0.768,-7.48,169.873,0.35
"46",0.563,0.86,-7.533,97.867,0.517
"47",0.391,0.831,-3.892,139.946,0.683
"48",0.309,0.875,-4.49,143.526,0.725
"49",0.535,0.948,-4.19,103.183,0.778
"50",0.524,0.578,-4.563,123.669,0.537
"51",0.468,0.769,-7.036,104.102,0.17
"52",0.592,0.932,-4.491,93.675,0.698
"53",0.213,0.93,-4.478,169.221,0.386
"54",0.219,0.952,-3.621,112.886,0.172
"55",0.433,0.854,-3.868,89.4,0.368
"56",0.509,0.843,-3.318,140.055,0.332
"57",0.546,0.959,-4.664,127.831,0.416
"58",0.408,0.965,-4.232,136.018,0.349
"59",0.269,0.853,-4.647,141.581,0.179
"60",0.365,0.894,-4.682,82.305,0.31
"61",0.818,0.54,-6.35,97.064,0.174
"62",0.841,0.798,-4.206,95.948,0.591
"63",0.83,0.497,-6.94,127.965,0.634
"64",0.687,0.766,-6.08,94.973,0.303
"65",0.638,0.717,-4.722,100.027,0.249
"66",0.746,0.703,-4.179,166.043,0.667
"67",0.823,0.63,-3.932,100.04,0.184
"68",0.701,0.512,-6.869,91.947,0.663
"69",0.695,0.884,-6.279,74.992,0.854
"70",0.722,0.584,-8.467,169.978,0.646
"71",0.8,0.578,-5.144,143.01,0.367
"72",0.817,0.74,-4.566,130.04,0.674
"73",0.398,0.66,-5.626,83.828,0.719
"74",0.812,0.748,-5.959,132.035,0.158
"75",0.659,0.734,-4.008,161.971,0.346
"76",0.705,0.778,-4.101,160.099,0.709
"77",0.723,0.687,-4.632,173.747,0.777
"78",0.928,0.402,-7.569,139.998,0.62
"79",0.465,0.675,-7.555,119.941,0.129
"80",0.632,0.652,-10.558,115.031,0.594
"81",0.471,0.179,-10.273,174.273,0.194
"82",0.871,0.545,-6.466,96.035,0.415
"83",0.829,0.606,-7.093,118.051,0.732
"84",0.837,0.649,-5.26,164.002,0.948
"85",0.817,0.635,-5.719,103.029,0.777
"86",0.635,0.902,-3.559,102.063,0.286
"87",0.816,0.726,-3.998,136.048,0.65
"88",0.815,0.626,-5.139,109.989,0.571
"89",0.751,0.579,-4.036,105.031,0.349
"90",0.736,0.906,-1.49,93.013,0.611
"91",0.695,0.818,-5.532,102.976,0.599
"92",0.543,0.847,-3.574,92.046,0.65
"93",0.841,0.841,-4.288,104.01,0.823
"94",0.777,0.546,-9.504,147.173,0.952
"95",0.84,0.789,-4.695,92.018,0.619
"96",0.831,0.713,-3.646,132.109,0.69
"97",0.825,0.481,-8.6,121.046,0.761
"98",0.682,0.751,-5.812,129.937,0.708
"99",0.799,0.616,-4.599,127.023,0.697
"100",0.921,0.965,-1.396,120.902,0.507
"101",0.703,0.617,-8.732,123.159,0.435
"102",0.792,0.895,-3.112,94.968,0.794
"103",0.596,0.557,-7.522,133.247,0.661
"104",0.746,0.738,-3.67,94.808,0.63
"105",0.493,0.825,-4.056,99.866,0.621
"106",0.836,0.725,-5.445,126.035,0.76
"107",0.701,0.779,-4.657,119.974,0.451
"108",0.871,0.563,-8.329,91.998,0.62
"109",0.65,0.801,-5.407,166.16,0.74
"110",0.784,0.437,-7.868,90.003,0.47
"111",0.494,0.729,-4.934,78.833,0.421
"112",0.561,0.58,-5.612,84.98,0.294
"113",0.483,0.685,-3.232,185.502,0.546
"114",0.62,0.823,-2.436,175.921,0.404
"115",0.704,0.859,-4.877,105.115,0.926
"116",0.633,0.765,-5.732,100.934,0.489
"117",0.853,0.714,-6.177,92.375,0.836
"118",0.8,0.837,-4.488,105.026,0.813
"119",0.743,0.793,-5.032,109.921,0.434
"120",0.646,0.77,-6.596,99.165,0.681
"121",0.891,0.714,-6.055,100.972,0.818
"122",0.745,0.666,-5.899,129.995,0.708
"123",0.774,0.847,-3.925,143.011,0.923
"124",0.672,0.832,-2.388,117.298,0.549
"125",0.894,0.791,-4.699,105.018,0.583
"126",0.375,0.862,-3.363,159.841,0.478
"127",0.778,0.824,-5.892,100.024,0.756
"128",0.675,0.885,-4.432,97.03,0.768
"129",0.733,0.71,-5.849,127.975,0.965
"130",0.775,0.719,-6.212,117.513,0.712
"131",0.421,0.873,-4.343,84.803,0.63
"132",0.422,0.264,-7.064,119.93,0.331
"133",0.468,0.64,-5.862,79.297,0.499
"134",0.613,0.622,-5.794,80.003,0.484
"135",0.435,0.92,-1.357,188.899,0.45
"136",0.662,0.741,-5.406,131,0.404
"137",0.728,0.974,-2.261,79.526,0.965
"138",0.755,0.832,-2.741,120.032,0.735
"139",0.764,0.694,-5.745,146.075,0.581
"140",0.967,0.583,-5.562,117,0.964
"141",0.659,0.696,-4.291,86.001,0.665
"142",0.63,0.698,-4.51,94.023,0.529
"143",0.824,0.743,-5.995,127.046,0.804
"144",0.61,0.926,-4.843,172.638,0.861
"145",0.585,0.776,-5.898,77.987,0.427
"146",0.656,0.578,-8.97,94.514,0.556
"147",0.457,0.573,-3.866,76.193,0.0992
"148",0.701,0.7,-4.934,122.035,0.625
"149",0.581,0.963,-4.087,129.992,0.788
"150",0.729,0.771,-2.451,125.011,0.873
"151",0.649,0.552,-5.419,89.969,0.158
"152",0.487,0.9,-4.417,149.937,0.484
"153",0.724,0.695,-5.226,139,0.235
"154",0.671,0.939,-3.206,129.023,0.529
"155",0.426,0.584,-5.293,193.437,0.272
"156",0.638,0.656,-5.886,104.036,0.225
"157",0.814,0.899,-5.958,119.011,0.545
"158",0.583,0.786,-3.142,123.052,0.573
"159",0.843,0.805,-5.946,94.946,0.615
"160",0.711,0.7,-4.805,128.001,0.801
"161",0.524,0.904,-2.071,161.188,0.655
"162",0.751,0.834,-5.444,95.053,0.894
"163",0.624,0.653,-6.582,73.884,0.565
"164",0.794,0.811,-8.966,116.047,0.862
"165",0.68,0.687,-6.162,150.053,0.467
"166",0.944,0.511,-10.96,113.046,0.842
"167",0.706,0.801,-6.333,100.013,0.63
"168",0.53,0.422,-6.262,119.964,0.349
"169",0.535,0.886,-3.106,126.012,0.445
"170",0.793,0.832,-4.862,107.661,0.872
"171",0.655,0.488,-9.17,91.025,0.791
"172",0.636,0.873,-4.672,165.071,0.908
"173",0.662,0.507,-8.238,86.412,0.676
"174",0.542,0.905,-5.653,153.398,0.374
"175",0.555,0.923,-5.908,116.012,0.682
"176",0.591,0.699,-5.221,116.029,0.733
"177",0.396,0.629,-4.78,173.794,0.358
"178",0.56,0.959,-2.433,163.983,0.67
"179",0.653,0.609,-7.519,95.982,0.482
"180",0.276,0.715,-5.356,137.028,0.173
"181",0.64,0.743,-4.08,122.035,0.361
"182",0.63,0.894,-4.592,142.051,0.364
"183",0.519,0.749,-3.318,147.905,0.29
"184",0.64,0.889,-3.073,99.931,0.436
"185",0.815,0.808,-4.614,110.063,0.746
"186",0.609,0.445,-9.129,118.393,0.166
"187",0.551,0.696,-6.192,112.024,0.354
"188",0.338,0.803,-5.412,151.994,0.4
"189",0.517,0.598,-3.751,96.933,0.922
"190",0.583,0.584,-5.362,140.039,0.136
"191",0.806,0.902,-3.387,128.943,0.961
"192",0.494,0.939,-3.127,177.751,0.893
"193",0.423,0.862,-5.13,154.746,0.462
"194",0.871,0.597,-4.932,125.999,0.635
"195",0.584,0.7,-4.251,163.953,0.549
"196",0.423,0.922,-2.602,156.063,0.567
"197",0.423,0.94,-4.012,149.934,0.505
"198",0.647,0.729,-6.251,94.01,0.687
"199",0.521,0.431,-9.74,106.546,0.181
"200",0.65,0.879,-3.176,105.015,0.899
"201",0.82,0.717,-6.191,104.005,0.843
"202",0.756,0.8,-5.158,118.921,0.967
"203",0.751,0.731,-4.419,97.007,0.973
"204",0.719,0.809,-10.201,100.839,0.964
"205",0.811,0.88,-2.972,124.12,0.915
"206",0.723,0.777,-3.503,91.017,0.961
"207",0.699,0.917,-4.897,130.04,0.889
"208",0.782,0.874,-7.157,123.179,0.859
"209",0.585,0.977,-3.57,138.264,0.801
"210",0.744,0.601,-5.241,143.542,0.905
"211",0.566,0.911,-9.458,193.538,0.638
"212",0.548,0.688,-6.053,179.842,0.813
"213",0.778,0.824,-5.892,100.024,0.756
"214",0.774,0.687,-4.818,104.959,0.308
"215",0.803,0.56,-6.912,133.679,0.77
"216",0.82,0.937,-4.81,130.993,0.906
"217",0.696,0.728,-6.937,124.092,0.963
"218",0.659,0.802,-4.79,177.936,0.863
"219",0.671,0.884,-9.267,119.574,0.933
"220",0.582,0.61,-6.641,93.658,0.826
"221",0.857,0.801,-6.499,96.009,0.753
"222",0.816,0.416,-17.795,90.148,0.817
"223",0.542,0.714,-8.045,124.26,0.76
"224",0.927,0.721,-12.561,103.018,0.965
"225",0.348,0.751,-12.823,156.509,0.886
"226",0.522,0.526,-6.361,90.02,0.43
"227",0.779,0.631,-5.314,97.927,0.663
"228",0.748,0.835,-5.731,142.942,0.896
"229",0.648,0.846,-6.731,160.075,0.815
"230",0.815,0.757,-5.351,127.052,0.811
"231",0.425,0.954,-3.756,178.043,0.933
"232",0.559,0.73,-8.461,106.806,0.778
"233",0.555,0.331,-17.718,170.603,0.437
"234",0.301,0.335,-8.564,176.591,0.386
"235",0.707,0.408,-12.776,126.399,0.843
"236",0.66,0.504,-13.087,88.953,0.914
"237",0.489,0.679,-4.899,95.813,0.658
"238",0.507,0.423,-14.187,82.809,0.701
"239",0.613,0.489,-13.509,145.278,0.898
"240",0.66,0.124,-19.2,129.919,0.362
"241",0.543,0.903,-6.658,162.241,0.962
"242",0.691,0.805,-6.81,142.503,0.866
"243",0.576,0.698,-5.181,98.855,0.708
"244",0.545,0.59,-7.257,100.835,0.583
"245",0.649,0.144,-16.809,119.193,0.264
"246",0.57,0.301,-13.846,118.337,0.431
"247",0.39,0.263,-6.851,80.332,0.446
"248",0.337,0.55,-5.814,183.117,0.851
"249",0.514,0.83,-8.666,148.806,0.964
"250",0.438,0.805,-6.237,113.253,0.564
"251",0.397,0.785,-9.168,96.333,0.646
"252",0.735,0.82,-8.554,135.586,0.859
"253",0.597,0.554,-14.144,117.835,0.963
"254",0.412,0.902,-11.6,89.74,0.422
"255",0.386,0.607,-7.7,147.207,0.532
"256",0.547,0.58,-13.415,109.827,0.505
"257",0.573,0.939,-6.441,137.382,0.963
"258",0.55,0.854,-5.968,159.231,0.965
"259",0.619,0.603,-9.481,127.432,0.958
"260",0.51,0.893,-9.267,142.657,0.934
"261",0.653,0.519,-10.164,98.883,0.822
"262",0.64,0.663,-7.516,132.77,0.663
"263",0.439,0.737,-12.054,145.942,0.533
"264",0.295,0.584,-6.696,117.2,0.228
"265",0.623,0.709,-9.818,122.394,0.948
"266",0.735,0.52,-6.18,118.441,0.688
"267",0.412,0.59,-12.277,85.824,0.653
"268",0.704,0.528,-13.382,117.472,0.73
"269",0.533,0.905,-5.27,108.9,0.486
"270",0.552,0.616,-9.785,112.442,0.667
"271",0.483,0.721,-6.836,95.261,0.562
"272",0.451,0.364,-13.126,154.206,0.298
"273",0.452,0.818,-8.124,124.474,0.755
"274",0.491,0.801,-9.835,160.109,0.971
"275",0.413,0.725,-5.787,124.618,0.44
"276",0.537,0.716,-8.766,122.873,0.452
"277",0.436,0.375,-13.856,107.386,0.49
"278",0.816,0.514,-8.741,136.837,0.912
"279",0.556,0.161,-13.944,126.534,0.588
"280",0.252,0.507,-13.337,196.494,0.816
"281",0.533,0.638,-7.13,156.663,0.937
"282",0.684,0.481,-12.59,115.078,0.784
"283",0.599,0.704,-8.566,173.043,0.95
"284",0.699,0.641,-7.564,120.745,0.728
"285",0.271,0.553,-9.526,86.762,0.433
"286",0.456,0.514,-9.733,138.377,0.657
"287",0.49,0.715,-5.549,130.726,0.866
"288",0.364,0.607,-9.791,79.987,0.598
"289",0.551,0.954,-2.844,136.862,0.685
"290",0.36,0.757,-6.832,83.865,0.341
"291",0.423,0.681,-9.756,110.461,0.559
"292",0.6,0.897,-7.275,137.375,0.676
"293",0.507,0.847,-5.987,98.096,0.566
"294",0.504,0.578,-9.302,132.411,0.654
"295",0.528,0.514,-11.909,122.872,0.44
"296",0.494,0.666,-9.743,140.832,0.699
"297",0.552,0.742,-7.963,138.591,0.751
"298",0.505,0.836,-7.384,159.669,0.764
"299",0.396,0.473,-7.67,133.449,0.385
"300",0.346,0.75,-6.619,165.036,0.667
"301",0.332,0.179,-11.83,96.529,0.315
"302",0.195,0.483,-4.991,84.71,0.173
"303",0.299,0.443,-12.621,139.539,0.434
"304",0.64,0.651,-14.981,111.676,0.801
"305",0.565,0.953,-6.504,124.287,0.887
"306",0.63,0.519,-10.997,143.942,0.502
"307",0.523,0.402,-8.233,70.863,0.675
"308",0.641,0.774,-5.916,89.787,0.942
"309",0.35,0.293,-9.502,96.685,0.162
"310",0.407,0.834,-9.224,121.38,0.71
"311",0.558,0.686,-4.495,132.075,0.886
"312",0.593,0.804,-5.497,148.959,0.962
"313",0.389,0.396,-7.999,171.86,0.585
"314",0.562,0.768,-6.613,119.544,0.966
"315",0.351,0.228,-17.271,104.551,0.0329
"316",0.377,0.916,-3.199,75.533,0.912
"317",0.403,0.709,-9.366,97.161,0.654
"318",0.491,0.583,-10.964,150.572,0.907
"319",0.634,0.63,-8.277,118.628,0.489
"320",0.425,0.903,-4.801,108.748,0.769
"321",0.469,0.647,-13.913,147.878,0.942
"322",0.551,0.293,-12.503,106.798,0.322
"323",0.704,0.773,-9.621,141.655,0.972
"324",0.39,0.625,-7.813,144.338,0.514
"325",0.456,0.47,-9.564,120.336,0.639
"326",0.705,0.515,-9.343,112.035,0.803
"327",0.585,0.676,-11.267,109.309,0.474
"328",0.338,0.668,-8.641,127.097,0.561
"329",0.57,0.754,-9.948,127.957,0.708
"330",0.38,0.0993,-20.567,174.874,0.44
"331",0.341,0.416,-9.574,102.886,0.499
"332",0.55,0.929,-5.765,129.011,0.643
"333",0.646,0.813,-6.733,129.378,0.711
"334",0.601,0.596,-8.029,128.168,0.503
"335",0.421,0.664,-10.657,201.583,0.574
"336",0.421,0.58,-7.011,129.959,0.403
"337",0.438,0.754,-7.035,123.744,0.435
"338",0.318,0.303,-15.572,174.254,0.226
"339",0.355,0.761,-6.309,165.209,0.685
"340",0.555,0.694,-8.453,127.423,0.602
"341",0.341,0.714,-7.998,147.604,0.412
"342",0.68,0.507,-5.929,123.47,0.854
"343",0.506,0.948,-5.626,130.195,0.934
"344",0.329,0.806,-11.925,142.625,0.619
"345",0.65,0.798,-8.126,110.646,0.464
"346",0.527,0.871,-8.708,120.722,0.107
"347",0.682,0.621,-9.653,125.91,0.861
"348",0.364,0.768,-10.492,130.602,0.37
"349",0.46,0.955,-6.684,160.073,0.726
"350",0.615,0.129,-14.892,91.769,0.249
"351",0.63,0.449,-13.243,84.378,0.623
"352",0.414,0.161,-22.32,159.375,0.423
"353",0.619,0.22,-13.843,75.16,0.423
"354",0.579,0.508,-9.484,147.125,0.609
"355",0.711,0.292,-15.523,103.951,0.194
"356",0.659,0.678,-8.18,106.186,0.647
"357",0.475,0.322,-10.687,93.503,0.387
"358",0.601,0.574,-8.166,147.964,0.8
"359",0.695,0.282,-15.359,91.681,0.445
"360",0.684,0.248,-10.505,116.002,0.621
"361",0.575,0.188,-18.758,77.464,0.334
"362",0.62,0.446,-14.451,88.591,0.868
"363",0.541,0.459,-10.433,171.165,0.803
"364",0.609,0.368,-13.338,90.373,0.618
"365",0.602,0.522,-9.031,136.637,0.36
"366",0.446,0.239,-13.945,189.507,0.298
"367",0.664,0.553,-7.723,112.52,0.287
"368",0.28,0.344,-12.577,171.143,0.232
"369",0.538,0.704,-8.904,120.963,0.583
"370",0.654,0.506,-17.18,123.179,0.831
"371",0.674,0.537,-10.971,110.578,0.809
"372",0.443,0.403,-8.339,143.462,0.41
"373",0.605,0.574,-10.536,129.449,0.543
"374",0.626,0.816,-10.593,105.33,0.798
"375",0.784,0.459,-10.446,106.957,0.931
"376",0.453,0.464,-10.96,93.19,0.658
"377",0.603,0.252,-12.402,122.631,0.179
"378",0.456,0.26,-15.435,82.321,0.491
"379",0.661,0.518,-10.061,127.266,0.776
"380",0.503,0.265,-15.913,78.044,0.522
"381",0.502,0.4,-13.697,127.182,0.435
"382",0.713,0.258,-14.59,98.805,0.56
"383",0.257,0.412,-11.788,152.126,0.858
"384",0.483,0.503,-9.396,151.862,0.598
"385",0.464,0.328,-9.005,70.859,0.784
"386",0.872,0.316,-14.415,119.528,0.57
"387",0.421,0.661,-13.126,100.965,0.554
"388",0.547,0.257,-12.358,75.752,0.169
"389",0.471,0.494,-10.407,79.255,0.373
"390",0.712,0.167,-22.047,96.637,0.376
"391",0.575,0.432,-13.642,132.145,0.348
"392",0.573,0.429,-8.68,139.097,0.361
"393",0.442,0.384,-14.635,123.281,0.216
"394",0.667,0.266,-16.339,138.178,0.349
"395",0.481,0.392,-11.381,124.572,0.52
"396",0.837,0.496,-11.821,125.017,0.964
"397",0.803,0.488,-9.303,95.771,0.624
"398",0.624,0.158,-13.059,85.492,0.303
"399",0.755,0.876,-8.867,102.762,0.954
"400",0.593,0.205,-14.601,140.279,0.377
"401",0.593,0.468,-11.165,75.798,0.597
"402",0.474,0.0404,-22.208,119.415,0.18
"403",0.508,0.56,-8.244,122.514,0.386
"404",0.632,0.556,-10.138,104.996,0.633
"405",0.749,0.246,-12.847,132.153,0.308
"406",0.678,0.622,-8.875,102.229,0.471
"407",0.476,0.318,-10.953,126.495,0.311
"408",0.41,0.598,-8.515,76.445,0.262
"409",0.583,0.602,-6.364,74.008,0.388
"410",0.6,0.363,-15.469,125.761,0.75
"411",0.387,0.194,-10.829,121.7,0.0862
"412",0.732,0.161,-12.817,95.21,0.5
"413",0.392,0.402,-9.961,143.883,0.228
"414",0.338,0.34,-12.049,82.433,0.197
"415",0.579,0.508,-9.484,147.125,0.609
"416",0.651,0.801,-7.34,133.763,0.776
"417",0.549,0.722,-11.729,103.885,0.716
"418",0.657,0.932,-5.819,144.751,0.888
"419",0.653,0.631,-11.334,156.32,0.516
"420",0.547,0.308,-11.75,114.719,0.41
"421",0.598,0.797,-6.793,123.566,0.622
"422",0.453,0.464,-10.96,93.19,0.658
"423",0.371,0.404,-6.452,74.386,0.153
"424",0.547,0.257,-12.358,75.752,0.169
"425",0.443,0.403,-8.339,143.462,0.41
"426",0.307,0.433,-10.057,160.9,0.224
"427",0.608,0.746,-8.851,134.03,0.745
"428",0.573,0.913,-4.793,115.715,0.422
"429",0.729,0.818,-9.992,125.811,0.907
"430",0.632,0.586,-11.333,114.243,0.89
"431",0.489,0.349,-14.295,124.348,0.622
"432",0.582,0.81,-7.024,151.006,0.875
"433",0.252,0.844,-8.121,118.158,0.351
"434",0.699,0.502,-12.526,105.266,0.676
"435",0.474,0.917,-4.19,152.113,0.902
"436",0.437,0.864,-7.842,81.394,0.749
"437",0.385,0.783,-2.533,176.701,0.902
"438",0.806,0.462,-12.778,92.726,0.736
"439",0.321,0.627,-9.509,132.855,0.141
"440",0.456,0.696,-10,142.156,0.508
"441",0.55,0.824,-5.988,114.512,0.777
"442",0.322,0.265,-13.398,133.577,0.207
"443",0.472,0.366,-12.595,127.167,0.171
"444",0.27,0.944,-4.199,146.347,0.606
"445",0.394,0.918,-3.743,115.646,0.479
"446",0.619,0.579,-9.307,127.224,0.69
"447",0.323,0.978,-3.841,134.222,0.168
"448",0.527,0.509,-10.893,138.317,0.497
"449",0.48,0.47,-11.919,122.569,0.701
"450",0.685,0.806,-12.151,134.889,0.31
"451",0.336,0.792,-10.875,155.588,0.425
"452",0.445,0.706,-9.803,80.823,0.768
"453",0.653,0.73,-10.613,108.705,0.894
"454",0.62,0.559,-10.568,129.401,0.527
"455",0.424,0.446,-9.618,165.158,0.794
"456",0.692,0.488,-7.282,81.4,0.51
"457",0.575,0.318,-16.729,104.522,0.385
"458",0.641,0.927,-3.532,128.606,0.966
"459",0.55,0.726,-8.51,92.697,0.37
"460",0.333,0.927,-8.55,141.47,0.382
"461",0.542,0.444,-11.567,171.719,0.827
"462",0.531,0.948,-5.438,136.891,0.498
"463",0.73,0.868,-7.325,148.217,0.923
"464",0.602,0.522,-9.031,136.637,0.36
"465",0.828,0.492,-9.744,120.151,0.789
"466",0.467,0.486,-6.645,95.205,0.184
"467",0.479,0.512,-12.462,118.953,0.795
"468",0.617,0.0457,-26.401,99.48,0.0967
"469",0.41,0.761,-9.453,132.889,0.391
"470",0.309,0.831,-8.288,181.145,0.934
"471",0.611,0.35,-14.48,76.064,0.36
"472",0.538,0.704,-8.904,120.963,0.583
"473",0.494,0.722,-8.373,117.312,0.156
"474",0.694,0.577,-14.63,114.478,0.845
"475",0.586,0.7,-9.558,147.245,0.897
"476",0.668,0.678,-8.015,132.584,0.778
"477",0.642,0.641,-12.444,120.316,0.85
"478",0.421,0.661,-13.126,100.965,0.554
"479",0.472,0.9,-6.406,95.826,0.42
"480",0.345,0.795,-7.44,134.141,0.189
"481",0.429,0.668,-7.539,77.737,0.398
"482",0.786,0.481,-11.236,119.854,0.785
"483",0.225,0.889,-4.371,96.02,0.599
"484",0.547,0.691,-13.553,137.148,0.667
"485",0.644,0.799,-10.856,108.382,0.889
"486",0.465,0.865,-9.573,117.528,0.677
"487",0.787,0.877,-3.822,100.61,0.837
"488",0.479,0.601,-8.806,124.966,0.669
"489",0.625,0.35,-8.395,113.688,0.69
"490",0.483,0.786,-5.735,126.748,0.793
"491",0.549,0.916,-4.185,127.131,0.632
"492",0.149,0.206,-13.888,79.764,0.264
"493",0.641,0.397,-12.285,81.962,0.57
"494",0.662,0.763,-7.475,126.333,0.699
"495",0.617,0.461,-14.485,93.853,0.828
"496",0.623,0.91,-8.448,145.624,0.745
"497",0.436,0.657,-8.868,118.693,0.21
"498",0.287,0.562,-7.549,147.622,0.126
"499",0.531,0.818,-5.358,90.767,0.471
"500",0.48,0.626,-8.406,75.63,0.542
"501",0.543,0.529,-9.717,85.126,0.746
"502",0.295,0.568,-8.232,98.284,0.384
"503",0.354,0.731,-9.178,170.64,0.698
"504",0.377,0.778,-6.658,117.238,0.218
"505",0.513,0.396,-13.061,140.208,0.229
"506",0.751,0.572,-12.324,115.839,0.58
"507",0.667,0.755,-7.246,109.535,0.883
"508",0.505,0.476,-12.897,99.31,0.542
"509",0.693,0.528,-13.094,124.573,0.339
"510",0.423,0.834,-5.498,113.876,0.606
"511",0.549,0.651,-7.097,122.818,0.368
"512",0.326,0.872,-7.602,173.381,0.492
"513",0.274,0.949,-8.642,100.346,0.497
"514",0.527,0.978,-5.436,141.169,0.463
"515",0.482,0.601,-12.846,125.619,0.774
"516",0.535,0.967,-4.082,110.97,0.347
"517",0.267,0.953,-4.899,84.989,0.568
"518",0.403,0.88,-5.872,100.457,0.235
"519",0.453,0.906,-4.001,137.575,0.473
"520",0.559,0.825,-10.725,122.821,0.805
"521",0.577,0.676,-11.931,95.98,0.676
"522",0.367,0.445,-13.615,67.197,0.149
"523",0.512,0.947,-5.659,117.461,0.612
"524",0.442,0.759,-13.475,198.117,0.279
"525",0.555,0.973,-3.804,118.642,0.805
"526",0.494,0.933,-5.977,121.201,0.507
"527",0.536,0.844,-6.918,117.652,0.185
"528",0.403,0.777,-6.416,76.329,0.149
"529",0.505,0.631,-10.433,118.178,0.835
"530",0.476,0.331,-14.884,130.574,0.24
"531",0.445,0.955,-8.027,123.343,0.336
"532",0.533,0.637,-5.571,140.167,0.292
"533",0.333,0.79,-6.802,180.356,0.534
"534",0.686,0.781,-5.906,120.191,0.64
"535",0.723,0.541,-14.021,131.675,0.607
"536",0.257,0.803,-3.886,150.818,0.294
"537",0.36,0.527,-9.883,132.639,0.247
"538",0.567,0.867,-11.541,146.008,0.535
"539",0.6,0.931,-4.647,140.123,0.542
"540",0.39,0.898,-4.089,90.703,0.204
"541",0.52,0.887,-3.296,122.528,0.793
"542",0.449,0.901,-7.711,125.148,0.696
"543",0.441,0.908,-4.627,145.439,0.632
"544",0.547,0.822,-7.201,130.138,0.774
"545",0.562,0.965,-2.789,105.305,0.39
"546",0.49,0.951,-3.888,158.075,0.628
"547",0.526,0.924,-5.591,147.28,0.793
"548",0.476,0.901,-6.751,91.955,0.109
"549",0.474,0.977,-3.839,89.494,0.236
"550",0.616,0.965,-4.464,126.535,0.405
"551",0.502,0.924,-6.299,149.186,0.922
"552",0.472,0.946,-4.591,177.489,0.486
"553",0.423,0.696,-11.589,129.02,0.786
"554",0.457,0.794,-6.624,90.439,0.354
"555",0.679,0.859,-5.945,124.324,0.792
"556",0.537,0.978,-2.921,126.343,0.931
"557",0.523,0.88,-9.019,132.426,0.553
"558",0.298,0.612,-9.002,156.727,0.343
"559",0.3,0.894,-7.786,118.631,0.268
"560",0.46,0.974,-5.095,112.684,0.444
"561",0.426,0.961,-4.365,171.411,0.616
"562",0.296,0.83,-7.051,164.124,0.478
"563",0.204,0.794,-7.586,149.346,0.205
"564",0.463,0.926,-3.563,131.129,0.501
"565",0.479,0.822,-6.412,130.035,0.562
"566",0.33,0.963,-5.509,171.59,0.734
"567",0.498,0.858,-5.259,132.718,0.778
"568",0.619,0.751,-11.568,126.079,0.532
"569",0.562,0.991,-2.654,118.004,0.266
"570",0.611,0.883,-11.225,117.928,0.604
"571",0.817,0.599,-9.249,108.873,0.548
"572",0.468,0.743,-10.846,156.103,0.648
"573",0.345,0.531,-12.708,176.302,0.49
"574",0.596,0.896,-4.635,115.092,0.456
"575",0.462,0.488,-11.143,145.789,0.33
"576",0.509,0.935,-3.633,148.062,0.501
"577",0.489,0.953,-4.615,94.443,0.447
"578",0.476,0.897,-4.237,152.497,0.667
"579",0.567,0.889,-11.782,132.726,0.555
"580",0.44,0.772,-8.838,112.839,0.321
"581",0.531,0.626,-13.371,88.236,0.746
